Fighter_dims,weight_class,avg_KD,avg_opp_KD,avg_SUB_ATT,avg_opp_SUB_ATT,avg_REV,avg_opp_REV,avg_SIG_STR_att,avg_SIG_STR_landed,avg_opp_SIG_STR_att,avg_opp_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,avg_opp_TOTAL_STR_att,avg_opp_TOTAL_STR_landed,avg_TD_att,avg_TD_landed,avg_opp_TD_att,avg_opp_TD_landed,avg_HEAD_att,avg_HEAD_landed,avg_opp_HEAD_att,avg_opp_HEAD_landed,avg_BODY_att,avg_BODY_landed,avg_opp_BODY_att,avg_opp_BODY_landed,avg_LEG_att,avg_LEG_landed,avg_opp_LEG_att,avg_opp_LEG_landed,avg_DISTANCE_att,avg_DISTANCE_landed,avg_opp_DISTANCE_att,avg_opp_DISTANCE_landed,avg_CLINCH_att,avg_CLINCH_landed,avg_opp_CLINCH_att,avg_opp_CLINCH_landed,avg_GROUND_att,avg_GROUND_landed,avg_opp_GROUND_att,avg_opp_GROUND_landed,avg_CTRL_time(seconds),avg_opp_CTRL_time(seconds),Stance_Open Stance,Stance_Orthodox,Stance_Sideways,Stance_Southpaw,Stance_Switch,x,y,cluster,specific_cluster
Aalon Cruz,Lightweight,0.0,0.0,0.0,0.0,0.0,0.0,0.1823529411764706,0.034733893557422846,0.6587070471753057,0.6666666666666666,0.1411764705882353,0.026050420168067134,0.7647058823529412,0.9370339685169844,0.25882352941176406,0.0,0.0,0.0,0.06342710997442447,0.03647058823529399,0.6660341555977229,0.6705882352941177,0.47058823529411703,0.0,0.04411764705882339,0.0,0.5048128342245986,0.0,0.08823529411764677,0.14411764705882318,0.3662404092071611,0.1058823529411761,0.16199095022624427,0.09009287925696562,0.0,0.0,0.2352941176470588,0.1882352941176468,0.0,0.0,0.6561234329797493,0.7469220246238026,0.06084264369363305,0.08423888639425227,0.0,0.0,0.0,0.0,1.0,14.926478,3.3002322,1,1_Lightweight
Aaron Riley,Lightweight,0.0,0.013052993286375,0.009142788083994971,0.0,0.0,0.0,0.20022929643619322,0.09147476820981104,0.3291070540345306,0.18951291553930097,0.2134886799059714,0.1288309488374371,0.3393351797082364,0.25770808390067423,0.1020168869041851,0.05011816411132616,0.16705774777548252,0.07252249734491638,0.15152002147444976,0.04635406389887477,0.2925322729950578,0.13184139343259368,0.227827867244291,0.179659308689787,0.08657190263665952,0.07180620880378652,0.2125647958583009,0.20790124880581795,0.058945081993881016,0.04644535896798688,0.2968358635201708,0.16159912832603926,0.30110234650422196,0.16961895059837392,0.2331442894994709,0.1689363060100858,0.1342100972857912,0.0783796044877188,0.00869387003707143,0.007303536158214205,0.017665127578065473,0.013572466513061964,0.2359913865696893,0.0867457590001165,0.0,0.0,0.0,1.0,0.0,2.753703,5.763015,0,0_Lightweight
Abel Trujillo,Lightweight,0.020371263803348603,0.0,0.0365388674288665,0.05931322612337407,0.0,0.0,0.15160751251103868,0.07859698781184254,0.17220542892698468,0.10085452962793083,0.1423331095400941,0.08431521942121299,0.19218445793830194,0.14864079030504326,0.11199198211762013,0.0823473001502778,0.44624657430053016,0.24470033670868088,0.12874125233322642,0.05338654997040017,0.1555428877797172,0.0765184431868296,0.178409186331667,0.147852492151011,0.024374413060437757,0.017444404969855505,0.043069314483170786,0.05922030741435982,0.06383808765265277,0.06661215924163717,0.19085411083645418,0.09221536302932835,0.15682035891922602,0.08776501990032456,0.16026133967543987,0.12803254407530978,0.0558471641350048,0.0312531007700664,0.02740720349419413,0.02569096386854455,0.02136834506642045,0.0220440364380795,0.20824884558549817,0.3584323987807833,0.0,1.0,0.0,0.0,0.0,16.678179,4.1980953,1,1_Lightweight
Adriano Martins,Lightweight,0.019765828269829797,0.01147417112948,0.03131459483386417,0.0,0.0,0.0,0.08686502660816922,0.0477314470872689,0.19355637114443103,0.08420066249127633,0.088382061939707,0.057813092112994686,0.17338882989720997,0.08467774498806799,0.04424231144645845,0.053067158901730756,0.10308596387241142,0.018228919741262808,0.07372890164848782,0.03371465851039529,0.12906328504644396,0.025331127427989302,0.051409255254836,0.038462087190306,0.07473789502598964,0.038017825387804134,0.07946044195929594,0.09936492057864973,0.14076682441987579,0.13641704083998898,0.1515589241682597,0.1221200234695998,0.22769859866268458,0.11212906057371266,0.009592295707287292,0.0,0.0041266234935668,0.0017332609246264,0.010005491914215322,0.008054455802103516,0.0,0.0,0.24349871589005612,0.005594085775227565,0.0,0.0,0.0,1.0,0.0,2.897861,6.8193593,0,0_Lightweight
Akbarh Arreola,Lightweight,0.011302529389931325,0.0,0.017224460607162012,0.0,0.0,0.0,0.11486147379263319,0.05607229566039624,0.32226429736795165,0.1762891925973542,0.1014902087442133,0.0546532869759414,0.35220414018739915,0.26317692037548934,0.045859039817848446,0.06461955610696828,0.02815478636967821,0.028248428863736127,0.07910501686643363,0.02321640456766313,0.23228729914342947,0.0710670937215558,0.191287855361081,0.156480466320283,0.06956564688258039,0.029883003452797506,0.11913073464560853,0.10853177131781201,0.281867752920384,0.3743830651954215,0.20702123685840057,0.13972148349722685,0.28993738386949675,0.1431690652911896,0.02196993924837201,0.01544376989949862,0.1210939668605572,0.083192541407644,0.007960406295895195,0.007725245216091756,0.03191763248821413,0.018277151080088233,0.029312068956199616,0.30666841551778756,0.0,0.0,0.0,1.0,0.0,2.858889,6.668483,0,0_Lightweight
Al Iaquinta,Lightweight,0.02125959986120184,0.0028881714192475,0.013271408231816778,0.02812017405082503,0.0,0.0,0.2249737186797028,0.1062342615282654,0.34182253940022517,0.19048246105054542,0.1789068502899989,0.08417265533917313,0.3216919448716822,0.21085766623586943,0.08181803253626428,0.02850421478888343,0.24389715723036626,0.05885242260207161,0.19288237038907854,0.07704313617528753,0.3198072076037076,0.1466678790116298,0.205555529469672,0.126107321215704,0.05057854834742439,0.033954189697950755,0.1127583735629117,0.1423251636800718,0.08276621762353277,0.11374566379989746,0.4225830004739942,0.29316346022140694,0.3802533179961111,0.23066299348771355,0.04660969342556357,0.0287445930453944,0.012108537573428,0.0044467045992116,0.006000858538116508,0.004938352938236085,0.02578590546757409,0.026644919220645488,0.07708796488033962,0.14273753927719693,0.0,1.0,0.0,0.0,0.0,15.869452,2.0552132,1,1_Lightweight
Alan Patrick,Lightweight,0.01684585801180054,0.00773772032088,0.010752756700958105,0.012154737338601012,0.0,0.0,0.11225430326633816,0.052571293321894155,0.1745903599791293,0.12740584823144185,0.1298313053854784,0.07647059153590292,0.2179160722420428,0.2159756139816477,0.22478467525877685,0.11432212051197614,0.08886655143931889,0.03434048617961982,0.08865282548660482,0.03732300057592284,0.1393549846530702,0.0814138623471627,0.15325522270543201,0.06352503797046301,0.07037304696722664,0.04862785970029951,0.06228638713776191,0.0764190508180648,0.03900824395618276,0.05955198578757529,0.17682141533513848,0.09873725790439619,0.13909620187819158,0.09459051906121739,0.051423705685373244,0.038915232146431146,0.0578489184208712,0.0358024110322632,0.01511657438927874,0.013569530156947625,0.047574927369921284,0.05129912216220471,0.3841486053353331,0.14034808297391257,0.0,0.0,0.0,1.0,0.0,2.6424246,7.0484767,0,0_Lightweight
Alex Da Silva,Lightweight,0.0,0.0,0.008036424860977045,0.030737204107866033,0.029710902124685683,0.04452964274348576,0.07272228982855555,0.037399252299084716,0.132482803361113,0.09982441274924525,0.0961195601128974,0.061084729007055465,0.16062424027154137,0.1558048202549294,0.13929967918698055,0.08321754086718329,0.14438331118137734,0.04899365694226229,0.06120793662778056,0.02357311924115622,0.11901133066936792,0.0736570336846764,0.062701601242197,0.05507885931035,0.03178117732287188,0.028138950038868384,0.04954527581312758,0.0681247542430504,0.025388006401224756,0.038906993527434944,0.1111728010564818,0.0661481588192436,0.11674825393151207,0.07379620629313319,0.03190201757568547,0.033670016670725,0.0263430890499676,0.024671197722904,0.01182699516620931,0.0098911995731289,0.03457765865743354,0.04440154642655006,0.6103553958606039,0.16368514784682606,0.0,1.0,0.0,0.0,0.0,17.847473,5.7263684,1,1_Lightweight
Alex Oliveira,Lightweight,0.0023971259323370985,0.0,0.03859671512956795,0.017744344341228017,0.0,0.15577481022400796,0.09773916917368393,0.05835306790685732,0.08584480530374551,0.06457647905615913,0.1340619229428971,0.09733294809565858,0.11526858014498007,0.11732300842033008,0.23864164147038847,0.10445810384158961,0.10912372548866195,0.027264986197578917,0.07317255318559049,0.03389408946405374,0.06659117693245088,0.0413497498307052,0.157606781704329,0.13047004420785402,0.020869957784588253,0.013624211797532253,0.06027700001975586,0.06807624583383823,0.05354261831391376,0.06584773616019207,0.0970773751102806,0.056604624905789554,0.06112690834808499,0.03045055693826241,0.12947922948214646,0.09116448544563144,0.0456987400950568,0.0369588930423804,0.02599466009921969,0.023920695724107915,0.019836372288989056,0.025391958810097218,0.6120267330104331,0.16861470954117105,0.0,1.0,0.0,0.0,0.0,18.15882,5.67135,1,1_Lightweight
Alex White,Lightweight,0.01890510798976924,0.0040293604688275,0.018413238818998808,0.02758554495327303,0.04588398572546442,0.029488404854500504,0.18140917605266674,0.09150147392319283,0.21757873235917763,0.12036051183691573,0.1683162382107578,0.0955169546717164,0.24136474903212612,0.18088195957972936,0.05337268956648866,0.038059948841751845,0.26446680646847476,0.07186296946367272,0.14578763689232677,0.060297531063821554,0.1791454949152855,0.0827789217077475,0.264140082541813,0.185362798147681,0.057622975223504264,0.03090220120319288,0.0629345978345508,0.06706761092189875,0.08917408575127503,0.08142109203822694,0.2807007359597027,0.179789849279505,0.19988816867727707,0.09791362638168685,0.17685352370064944,0.1403719291303347,0.0506717936784304,0.0317028948345196,0.00854946186799627,0.006659688863274195,0.04004497929605877,0.04073465324592754,0.07568090420824287,0.4362675449810817,0.0,0.0,0.0,1.0,0.0,2.2888496,6.4389462,0,0_Lightweight
