Fighter_dims,weight_class,avg_KD,avg_opp_KD,avg_SUB_ATT,avg_opp_SUB_ATT,avg_REV,avg_opp_REV,avg_SIG_STR_att,avg_SIG_STR_landed,avg_opp_SIG_STR_att,avg_opp_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,avg_opp_TOTAL_STR_att,avg_opp_TOTAL_STR_landed,avg_TD_att,avg_TD_landed,avg_opp_TD_att,avg_opp_TD_landed,avg_HEAD_att,avg_HEAD_landed,avg_opp_HEAD_att,avg_opp_HEAD_landed,avg_BODY_att,avg_BODY_landed,avg_opp_BODY_att,avg_opp_BODY_landed,avg_LEG_att,avg_LEG_landed,avg_opp_LEG_att,avg_opp_LEG_landed,avg_DISTANCE_att,avg_DISTANCE_landed,avg_opp_DISTANCE_att,avg_opp_DISTANCE_landed,avg_CLINCH_att,avg_CLINCH_landed,avg_opp_CLINCH_att,avg_opp_CLINCH_landed,avg_GROUND_att,avg_GROUND_landed,avg_opp_GROUND_att,avg_opp_GROUND_landed,avg_CTRL_time(seconds),avg_opp_CTRL_time(seconds),Stance_Open Stance,Stance_Orthodox,Stance_Sideways,Stance_Southpaw,Stance_Switch,x,y,cluster,specific_cluster
AJ Fletcher,Welterweight,0.0,0.0,0.0640904882663101,0.0,0.23694444444443546,0.0,0.1338310185185185,0.0775,0.25688943894389427,0.19597222222222205,0.1591666666666666,0.11194444444444443,0.3064692982456139,0.3074530516431924,0.13444444444444437,0.10333333333333242,0.07697205762510362,0.055162904142238026,0.11606280193236714,0.05898611111111103,0.2265681003584228,0.1533333333333333,0.069444444444444,0.041666666666666,0.06874999999999988,0.046875000000000014,0.11323232323232271,0.15159722222222113,0.04999999999999952,0.06805555555555495,0.24716988727858272,0.2124999999999999,0.21801282051282053,0.16804824561403472,0.022761433686404542,0.013191613546397831,0.03,0.0188888888888888,0.006739130434782609,0.005597222222222206,0.09467213114754082,0.09321705426356565,0.3051258581235698,0.3440924512298557,0.0,0.0,0.0,0.0,1.0,2.0054326,-7.310614,3,3_Welterweight
Aaron Riley,Welterweight,0.0,0.027777777777777502,0.042726992177541355,0.0,0.0,0.0,0.18657407407407403,0.0902116402116402,0.3282178217821782,0.20148148148148146,0.1888888888888888,0.11440476190476188,0.3345029239766081,0.2654929577464787,0.07333333333333268,0.0,0.3518722634290497,0.26478193988275683,0.12429951690821253,0.031000000000000003,0.3191756272401433,0.1733333333333331,0.222222222222222,0.2,0.04583333333333326,0.03750000000000001,0.321818181818182,0.3113888888888889,0.04166666666666626,0.04083333333333297,0.2392431561996779,0.1549999999999998,0.2396866096866096,0.14464912280701725,0.35659579442034123,0.2110658167423732,0.182222222222222,0.0933333333333332,0.0,0.0,0.06196721311475411,0.04534883720930233,0.09883549453343499,0.3057336726039015,0.0,0.0,0.0,1.0,0.0,-7.0488796,2.9324856,1,1_Welterweight
Aaron Simpson,Welterweight,0.021405536063458616,0.0,0.008597759660847235,0.0003945597716339673,0.0,0.003401982030977357,0.12962827480468428,0.08630162505265489,0.16757452066872255,0.11947505800901975,0.1431387699711901,0.10516807096709076,0.18050555803838864,0.16299542046265,0.20759455560961942,0.0805172492802982,0.19288594067896125,0.03891593239551957,0.09474668506391315,0.05216031338388466,0.13016735470356883,0.0594986741891763,0.173536782064103,0.126354635621691,0.030946520762740883,0.024485956767194256,0.13631969532069296,0.17958290961329074,0.12347090463255903,0.19361354889565366,0.14044922230674536,0.10185490051738876,0.14314474642580308,0.08531844810129742,0.16894558165460935,0.15252454816532499,0.0727798693802296,0.0564592488250784,0.02894622693008156,0.025664242188086817,0.019284561623438282,0.026167975276201745,0.3757372065427231,0.17713543484045544,0.0,1.0,0.0,0.0,0.0,13.217673,5.768103,0,0_Welterweight
Abdul Razak Alhassan,Welterweight,0.31182045003953646,0.0,0.0,0.0,0.06094243890056275,0.0,0.26247629848183374,0.14949614534711558,0.3733426061380641,0.20191300548229238,0.2145970289451599,0.1214119201210033,0.38810296167876146,0.2622347158249071,0.04720087242957245,0.020561211111350727,0.28458281787193457,0.1492562028049938,0.25208991614472176,0.1394468240634088,0.3435168387177735,0.1427653739081892,0.063561888286224,0.049356976912887,0.08330695929545515,0.06189235479255451,0.10530764266474273,0.09396032752327915,0.054945205224148516,0.08783651537304764,0.43109807503892617,0.33136908345493427,0.36180196204842674,0.17095529726758477,0.1552559284217958,0.1338740799910739,0.0912514478814272,0.0719969728284688,0.019264872151652866,0.016615952230800635,0.039977346124829234,0.03907279222346152,0.11523095529243474,0.2381688891787501,0.0,1.0,0.0,0.0,0.0,10.525799,8.025898,0,0_Welterweight
Abubakar Nurmagomedov,Welterweight,0.0,0.0,0.0,0.20450797141286423,0.0,0.0,0.1120533260032985,0.06151469933767899,0.19508597368807792,0.07624610591900301,0.1925233644859813,0.13475614544883374,0.3636866699458927,0.376489558571882,0.12638812534359456,0.12014843320505564,0.0,0.0,0.10288381098071073,0.04844282572842209,0.15780560038305336,0.042056074766355,0.042056074766355006,0.042056074766355006,0.08215365585486527,0.033809785596481505,0.06664001199460233,0.09163001649257818,0.029068169323803756,0.04747800989554618,0.21898837552087047,0.1791094007696535,0.22223291185633132,0.08872464627759576,0.015954275948414278,0.014794332949231225,0.005607476635514,0.005607476635514,0.0,0.0,0.00868699249272251,0.010595522712453629,0.5124997641221634,0.0,0.0,1.0,0.0,0.0,0.0,14.204123,6.3176937,0,0_Welterweight
Adam Fugitt,Welterweight,0.0,0.07473841554559,0.0,0.0,0.0,0.0,0.21817389138016932,0.14122001565947748,0.43577676153265543,0.3515196811160936,0.179372197309417,0.11584454409566516,0.4014239634961843,0.36537611318132995,0.2630792227204771,0.04633781763826585,0.05917134474703775,0.0,0.1490868915318125,0.0741405082212256,0.43878682675153086,0.3318385650224214,0.38863976083707,0.29895366218236097,0.050448430493273265,0.03923766816143476,0.20845223535806495,0.2645739910313902,0.022421524663677007,0.03662182361733914,0.38389549619808916,0.390134529147982,0.43564830784561737,0.3662969081897567,0.1020692093560746,0.07098626123622394,0.1016442451420028,0.0717488789237668,0.008058750893611443,0.0,0.03241931926780839,0.047450203358014115,0.1716144523914582,0.01834799575531441,0.0,0.0,0.0,1.0,0.0,-7.212076,3.3830569,1,1_Welterweight
Adlan Amagov,Welterweight,0.0,0.0,0.0,0.0,0.0,0.0,0.14208333333333334,0.0623280423280423,0.12227722772277219,0.015740740740740587,0.1311111111111111,0.07011904761904758,0.14444444444444438,0.07323943661971813,0.24444444444444446,0.20666666666666483,0.0,0.0,0.07937198067632839,0.020666666666666614,0.10250896057347651,0.0033333333333333,0.1,0.055555555555555004,0.016666666666666503,0.004166666666666626,0.44101010101010113,0.3441666666666663,0.07500000000000002,0.04083333333333297,0.2219484702093396,0.12999999999999962,0.13514245014244997,0.017017543859648952,0.12139431299415825,0.08794409030932229,0.0177777777777776,0.0044444444444444,0.008985507246376721,0.00344444444444441,0.0,0.0,0.3091482329010932,0.0,0.0,1.0,0.0,0.0,0.0,13.10098,6.8151546,0,0_Welterweight
Akihiro Gono,Welterweight,0.03430226496492729,0.0,0.0522748485087915,0.0,0.0,0.0,0.12665475697642595,0.08372679870786867,0.2910693324880036,0.17712062199213766,0.1150829178012923,0.08164710918825288,0.2626478644810783,0.1793509902346547,0.061357883744614664,0.07537949379817269,0.0,0.0,0.05416685376844987,0.023939372669570618,0.21653269877623296,0.0828275564710548,0.248201907746873,0.172381933273265,0.09307571540507739,0.06706049697679839,0.35450197294973285,0.3545192601070614,0.17002016900133304,0.20850940623204955,0.20723864776927223,0.20276077530328696,0.24237966595018073,0.1610146575080863,0.06349619042601118,0.043594053656334494,0.1805641304051992,0.0818448906390336,0.011956847156101673,0.009536227565925256,0.0,0.0,0.24374385749857908,0.09389690992787175,0.0,0.0,0.0,0.0,1.0,2.1265101,-7.586559,4,4_Welterweight
Alan Jouban,Welterweight,0.043970399200337115,0.014734166270882499,0.0,0.01046090690875201,0.0,0.0,0.21273675422918675,0.12814228157526147,0.29858143215976096,0.17052547502618118,0.1745765045521107,0.10656621160769948,0.28646023287047606,0.19410375453716586,0.022512155930391624,0.016335301450734217,0.1293800088588324,0.053691922534992866,0.1578277503990984,0.07866017993918117,0.27879806752889563,0.139429228541817,0.262664336032719,0.17811640369045398,0.053598311274500265,0.030676614632989135,0.22886615622620296,0.2691272928107336,0.055438160833635765,0.0677256157173238,0.34201013824118137,0.29413347559911945,0.294878269052806,0.17329442631675793,0.1552574296202201,0.11728086171913715,0.0703233140977636,0.0390817074894116,0.013648354002346352,0.010269468186163755,0.026567203906928866,0.023381903418569407,0.08301485035960672,0.1415453385163669,0.0,0.0,0.0,1.0,0.0,-7.1580353,3.2044318,1,1_Welterweight
Albert Tumenov,Welterweight,0.039817506531985424,0.0,0.0,0.003757132681575004,0.06549719226271442,0.0,0.1856512634478638,0.0901314385565429,0.2599238409384562,0.1705276557107828,0.1568802846339504,0.07691846929083337,0.2549195178290627,0.2010608249919341,0.02922512548969423,0.014281920001013916,0.3108553419556971,0.08314036008443046,0.17209941039076193,0.07830931709562058,0.20391687017082927,0.09553971430987951,0.129798376206724,0.079923492537614,0.0804758663107984,0.05540015781295689,0.03286314447918608,0.03749880172253851,0.11935746002828551,0.16618698603052018,0.31435028025145323,0.21798710791533316,0.26485049264581445,0.17344881344457766,0.05132607127595001,0.04321899028470051,0.0330001511132928,0.0285774564699356,0.020270433927194322,0.011089922948377769,0.033981179154842216,0.0351114317309086,0.07079992126550312,0.2086960764362496,0.0,1.0,0.0,0.0,0.0,10.79815,6.6567445,0,0_Welterweight
