,Unnamed: 0,Fighter_dims,weight_class,avg_KD,avg_opp_KD,avg_SUB_ATT,avg_opp_SUB_ATT,avg_REV,avg_opp_REV,avg_SIG_STR_att,avg_SIG_STR_landed,avg_opp_SIG_STR_att,avg_opp_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,avg_opp_TOTAL_STR_att,avg_opp_TOTAL_STR_landed,avg_TD_att,avg_TD_landed,avg_opp_TD_att,avg_opp_TD_landed,avg_HEAD_att,avg_HEAD_landed,avg_opp_HEAD_att,avg_opp_HEAD_landed,avg_BODY_att,avg_BODY_landed,avg_opp_BODY_att,avg_opp_BODY_landed,avg_LEG_att,avg_LEG_landed,avg_opp_LEG_att,avg_opp_LEG_landed,avg_DISTANCE_att,avg_DISTANCE_landed,avg_opp_DISTANCE_att,avg_opp_DISTANCE_landed,avg_CLINCH_att,avg_CLINCH_landed,avg_opp_CLINCH_att,avg_opp_CLINCH_landed,avg_GROUND_att,avg_GROUND_landed,avg_opp_GROUND_att,avg_opp_GROUND_landed,avg_CTRL_time(seconds),avg_opp_CTRL_time(seconds),Stance_Open Stance,Stance_Orthodox,Stance_Sideways,Stance_Southpaw,Stance_Switch,x,y,cluster
100,100,Amanda Nunes,WomenFeatherweight,0.006319247697563521,0.0,0.03106367099648136,0.007385784790896008,0.0,0.0014621854904916414,0.29515713864690496,0.22367421655355618,0.16981024111152818,0.10129527527242936,0.3515570013770313,0.2908848782176592,0.20279744686948356,0.1708254810464098,0.15762225454004417,0.1364715468176543,0.10772821510051199,0.011982478196397415,0.24793738278920993,0.16331025693007772,0.14277626256674486,0.061414417554589804,0.15974153285690798,0.10618583854493,0.03457701851132288,0.024255035372189256,0.24296222939317694,0.22553885080383343,0.07979372965262552,0.1079444480160882,0.25475502141252493,0.20389650103547324,0.17406454393754006,0.10561727724942438,0.05916915910673051,0.04711291288143714,0.02620614310564,0.0202058316786588,0.12579156795894952,0.09970265038990314,0.01720242852311547,0.014130343913908813,0.4151277894118793,0.05192262560027888,0.0,1.0,0.0,0.0,0.0,-1.05946,7.268364,-1
170,170,Aspen Ladd,WomenFeatherweight,0.026606928827462142,0.009314177760203109,0.03664162383023534,0.0,0.0,0.1363736215456169,0.28798932384341636,0.2422666301669859,0.2738138582541527,0.2225737006282674,0.3799741184082821,0.3395017793594307,0.32927308348891055,0.347586959156774,0.13048635824436314,0.11822854883353039,0.057993936997492,0.03216027415315414,0.2958820538891712,0.23266575569417475,0.17797846060961658,0.0873863187030444,0.130486358244365,0.11071569790431,0.15915381573744566,0.1438315539739024,0.014139017697735954,0.019441149334386933,0.10873863187030428,0.1356267299327799,0.2051564174417338,0.14531435349940666,0.21536163410422005,0.1574577011924828,0.14980487943234005,0.09342260409876067,0.1803084223013048,0.1434031896665348,0.14817132254854676,0.16656114202131417,0.008984306633218335,0.007172611658252512,0.4260268151079815,0.3210131432130291,0.0,1.0,0.0,0.0,0.0,-1.6039345,5.994594,-1
293,293,Cat Zingano,WomenFeatherweight,0.0,0.0,0.00694548543446608,0.019112576825061022,0.053277869384888196,0.02908109728675757,0.14843726577724473,0.1306444080578391,0.09803961583386633,0.06848673362314475,0.23304567939929946,0.24405636336381356,0.17568552281917849,0.1915182373117828,0.22035676810073423,0.16369359916054496,0.055463948433516,0.06400839454354489,0.1060699830824249,0.07548946965195868,0.09162189737960644,0.0548643381801828,0.16601708889222,0.12254534552540801,0.02065844700944363,0.016161370109428502,0.11658331175644829,0.12492504871833217,0.011804826862539003,0.019281217208813723,0.09692775782697749,0.07909233997901356,0.08015366934569433,0.040895293059511305,0.1539276369094259,0.13641487762683935,0.0328286613701092,0.026832558836756,0.06620304337502445,0.05745876453385955,0.023687062425816408,0.030760528912020944,0.4501042285900892,0.29708742752325484,0.0,0.0,0.0,1.0,0.0,-2.5920463,7.1370225,-1
387,387,Cristiane Justino,WomenFeatherweight,0.022170180621809914,0.010853010814615012,0.0,0.0,0.0,0.0,0.4357677481103206,0.3951992769174735,0.22193570142215702,0.10331514440393663,0.4310155100738602,0.3897357446017752,0.2132717668357575,0.12367456832653663,0.06151261705231207,0.05495468861030469,0.126478061506276,0.03991703351578344,0.35816693757448953,0.2719096656710393,0.1825839109342864,0.058342556943678896,0.45168221750151605,0.36305936324767596,0.06957080794624276,0.04275457471920451,0.16372217217746504,0.20865823243504364,0.06990461975171477,0.06878901390837971,0.36615800291218414,0.33200787497600565,0.2306159360015971,0.10277508841411284,0.4006099645942679,0.3309135533347227,0.0500236636605628,0.0372094098911052,0.11434915445691825,0.11280262740473694,0.006052758223506595,0.0014521255165491976,0.2331138672096121,0.13120448758108985,0.0,1.0,0.0,0.0,0.0,-1.0313555,6.0580654,-1
571,571,Felicia Spencer,WomenFeatherweight,0.0,0.0,0.061701784370490016,0.004812311879547005,0.0,0.0,0.25545521721150616,0.2121505612959943,0.27489773242355087,0.222560184722319,0.2944373182770415,0.26390606046607895,0.25981078819459275,0.2418411128846032,0.21831701514943824,0.0652070799608203,0.057942458711296,0.06533254174686078,0.2109092092898974,0.15802108079091473,0.22144749701412397,0.138758992334103,0.159405543903835,0.061447458530115996,0.08967709420889253,0.07643676176407277,0.2046394747561686,0.25888937313706323,0.09641710975394928,0.1459528640745061,0.18699420273882938,0.11333132345024234,0.2558473081285269,0.2152049361652221,0.20518659632445457,0.1641819554802055,0.078247045198416,0.0590147517861892,0.10657508252009014,0.1292266634661161,0.03511877248597225,0.034429925075501404,0.3788928856902316,0.13089048100740802,0.0,1.0,0.0,0.0,0.0,-1.7357043,5.4934797,-1
624,624,Germaine de Randamie,WomenFeatherweight,0.03499770613972916,0.0,0.0,0.0,0.0,0.0,0.26119972260748964,0.19552171129841012,0.1961487757652324,0.08055940822931097,0.2738384188626907,0.221879334257975,0.2899944557298901,0.23090557244491808,0.0,0.0,0.443828016643548,0.06345353675450638,0.21746582127996825,0.11970088277636833,0.1563129166480245,0.0374479889042994,0.235783633841886,0.20804438280166399,0.050710818307905386,0.027305825242718254,0.12274618585298162,0.12274618585298092,0.10142163661581077,0.10618932038834904,0.25276387465074657,0.15759361997226046,0.16551086453999062,0.05841667274983555,0.35507558068084033,0.3332458672264499,0.045769764216366,0.033287101248266,0.0,0.0,0.055865032627725485,0.022013998645292233,0.13520821894330587,0.33588315634561833,0.0,1.0,0.0,0.0,0.0,-0.14112438,5.5343075,-1
680,680,Holly Holm,WomenFeatherweight,0.006966236792684723,0.0,0.0,0.005683945953759007,0.0,0.0,0.25927204371565743,0.12628010020287528,0.22109177675386932,0.1439354335920408,0.2574767789815122,0.1373597573278635,0.22576919399759213,0.18529016491732425,0.03300684860090403,0.002770923652457981,0.09835923695825999,0.04622942709057935,0.21000188479274168,0.06485596203411317,0.16467450432140102,0.0772375504861734,0.184631450641919,0.10213483418147301,0.06148771224331126,0.04110150771334914,0.20200395243583918,0.17843791204583223,0.1468530582153203,0.17265749084814566,0.3181103114672722,0.16395186208825033,0.2397506376349035,0.16273288732002145,0.05309023945582613,0.04480801394630381,0.0320366898002372,0.0270426155618056,0.0020646885413685753,0.00163841313835575,0.006297991159561157,0.006981009201928919,0.1147254458518706,0.07513133031443758,0.0,0.0,0.0,1.0,0.0,-3.1822577,6.2530813,-1
910,910,Joselyne Edwards,WomenFeatherweight,0.0,0.0,0.01287037037036679,0.0,0.07898148148147376,0.03592592592591632,0.18731250000000002,0.1609615384615383,0.14319306930693054,0.11884259259259249,0.25107954545454547,0.24374999999999986,0.21787418358168095,0.2316243975873925,0.04999999999999805,0.010833333333330317,0.33333333333333204,0.2541666666666629,0.1330714285714286,0.10281387163921184,0.10483870967741936,0.0708333333333333,0.19166666666666599,0.11388888888888798,0.04479166666666651,0.03437499999999976,0.16984848484848458,0.16798611111110984,0.09166666666666652,0.11229166666666598,0.20969806763285015,0.1862499999999996,0.12876780626780626,0.10423245614035077,0.05001406469760851,0.046719219219218185,0.0333333333333332,0.0266666666666664,0.021478961955152368,0.028229492855342805,0.03012295081967207,0.03653100775193773,0.07671243325705562,0.6540882103477523,0.0,1.0,0.0,0.0,0.0,0.37693956,6.961941,-1
929,929,Josiane Nunes,WomenFeatherweight,0.07461403753336597,0.0,0.0,0.0,0.0,0.0,0.7419046764434418,0.4712001924851889,0.4163929365965002,0.27187524926218387,0.6921894957160571,0.43211721874679504,0.3792536048342915,0.2786653353402219,0.0,0.0,0.167504187604688,0.07663316582914119,0.6352161683050823,0.31981567776667363,0.29787267476288604,0.1140652240795815,0.576180220832051,0.33885413461867103,0.18555789149830768,0.1267818685263049,0.36771519937349056,0.4056464294260418,0.1809429802071578,0.2955402010050247,0.8573737265644003,0.5780560968105836,0.484364413205045,0.3529796539086409,0.3424650376657237,0.23860292453257193,0.0100502512562812,0.0100502512562812,0.016190172328004262,0.012952137862403137,0.0064873548068209086,0.005697090101670802,0.029585731237172456,0.09466543915506274,0.0,0.0,0.0,1.0,0.0,-3.5780954,6.7508845,-1
1050,1050,Leah Letson,WomenFeatherweight,0.0,0.0,0.0,0.033333333333333034,0.0,0.0,0.40275000000000005,0.25269230769230777,0.3389438943894388,0.17944444444444435,0.4009090909090908,0.26399999999999985,0.3141069263561343,0.19388981592546742,0.033333333333333034,0.0,0.177777777777776,0.0,0.35228571428571426,0.15817518713724932,0.2935483870967742,0.1299999999999999,0.28888888888888803,0.21111111111111103,0.05833333333333314,0.029166666666666383,0.19070707070707,0.2294444444444437,0.15000000000000005,0.14972222222222212,0.4871336553945248,0.32999999999999985,0.37992877492877486,0.21271929824561378,0.11253164556962027,0.08009009009008936,0.0311111111111108,0.022222222222222,0.003304455685408034,0.004909477018320507,0.006885245901639277,0.01007751937984486,0.20456648868548172,0.00227311280746393,0.0,0.0,0.0,0.0,0.0,-2.5049603,6.3313894,-1
