,Fighter_dims,weight_class,avg_KD,avg_opp_KD,avg_SUB_ATT,avg_opp_SUB_ATT,avg_REV,avg_opp_REV,avg_SIG_STR_att,avg_SIG_STR_landed,avg_opp_SIG_STR_att,avg_opp_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,avg_opp_TOTAL_STR_att,avg_opp_TOTAL_STR_landed,avg_TD_att,avg_TD_landed,avg_opp_TD_att,avg_opp_TD_landed,avg_HEAD_att,avg_HEAD_landed,avg_opp_HEAD_att,avg_opp_HEAD_landed,avg_BODY_att,avg_BODY_landed,avg_opp_BODY_att,avg_opp_BODY_landed,avg_LEG_att,avg_LEG_landed,avg_opp_LEG_att,avg_opp_LEG_landed,avg_DISTANCE_att,avg_DISTANCE_landed,avg_opp_DISTANCE_att,avg_opp_DISTANCE_landed,avg_CLINCH_att,avg_CLINCH_landed,avg_opp_CLINCH_att,avg_opp_CLINCH_landed,avg_GROUND_att,avg_GROUND_landed,avg_opp_GROUND_att,avg_opp_GROUND_landed,avg_CTRL_time(seconds),avg_opp_CTRL_time(seconds),Stance_Open Stance,Stance_Orthodox,Stance_Sideways,Stance_Southpaw,Stance_Switch
0, Alatengheili,Bantamweight,0.0,0.0,0.0,0.0,0.0,0.0,0.11055555555555555,0.043055555555555555,0.22722222222222221,0.08972222222222223,0.1552777777777778,0.07250000000000001,0.2644444444444444,0.1225,0.009444444444444445,0.003611111111111111,0.0011111111111111111,0.0,0.10333333333333333,0.03666666666666667,0.1963888888888889,0.07416666666666666,0.0044444444444444444,0.003888888888888889,0.02,0.009722222222222222,0.002777777777777778,0.0025,0.010833333333333334,0.005833333333333334,0.10805555555555556,0.04055555555555555,0.19944444444444445,0.07138888888888889,0.0,0.0,0.013611111111111112,0.008333333333333333,0.0025,0.0025,0.014166666666666668,0.01,0.19805555555555554,0.005,0.0,0.0,0.0,0.0,0.0
1, Aoriqileng,Bantamweight,0.00046816479400749064,0.0020474406991260923,0.0,0.0,0.0,0.0,0.29408239700374533,0.13607365792759052,0.37006242197253436,0.19629213483146069,0.3151747815230961,0.15090511860174782,0.39305243445692883,0.21825842696629214,0.0045630461922596755,0.0035393258426966293,0.0010237203495630461,0.0,0.24482521847690386,0.0919350811485643,0.34046192259675406,0.17330212234706616,0.04217852684144819,0.037059925093632956,0.022990012484394508,0.018426966292134833,0.007078651685393259,0.007078651685393259,0.006610486891385768,0.0045630461922596755,0.2627777777777778,0.11831460674157304,0.35833333333333334,0.18456304619225966,0.011173533083645444,0.006054931335830212,0.010237203495630462,0.010237203495630462,0.020131086142322098,0.011704119850187267,0.0014918851435705368,0.0014918851435705368,0.16685393258426967,0.05010611735330837,0.0,0.0,0.0,0.0,0.0
2, Aoriqileng,Flyweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
3, Maheshate,Lightweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
4, Sumudaerji,Bantamweight,0.0,0.0,0.00468384074941452,0.00234192037470726,0.00234192037470726,0.0,0.0702576112412178,0.04215456674473068,0.1451990632318501,0.07494145199063232,0.07728337236533958,0.0468384074941452,0.17798594847775176,0.09836065573770492,0.0,0.0,0.0117096018735363,0.00468384074941452,0.06791569086651054,0.04215456674473068,0.1358313817330211,0.0702576112412178,0.00234192037470726,0.0,0.00936768149882904,0.00468384074941452,0.0,0.0,0.0,0.0,0.02810304449648712,0.00936768149882904,0.02107728337236534,0.00234192037470726,0.00234192037470726,0.0,0.00468384074941452,0.00468384074941452,0.03981264637002342,0.03278688524590164,0.11943793911007025,0.06791569086651054,0.06088992974238876,0.8384074941451991,0.0,0.0,0.0,0.0,0.0
5, Sumudaerji,Flyweight,0.0007067137809187279,0.0,0.0014602932835562563,0.0007301466417781281,0.0007301466417781281,0.0,0.14925827006904704,0.08740670126564076,0.10207993268378153,0.040158065297797044,0.15948032305394083,0.09616846096697831,0.11522257223578783,0.05038011828269084,0.0007301466417781281,0.0007301466417781281,0.005841173134225025,0.0014602932835562563,0.1245035828311689,0.06995348044554389,0.08674685320644085,0.031396305596459506,0.013142639552006306,0.007301466417781281,0.009491906343115666,0.004380879850668769,0.01161204768587185,0.010151754402315593,0.005841173134225025,0.004380879850668769,0.10182217121432813,0.05601039566918126,0.05754098753531572,0.01533307947734069,0.0029205865671125125,0.0021904399253343844,0.004380879850668769,0.0029205865671125125,0.04451551228760642,0.029205865671125125,0.040158065297797044,0.021904399253343844,0.1795692081557007,0.324915255591267,0.0,0.0,0.0,0.0,0.0
6, Wulijiburen,Bantamweight,0.0,0.0011111111111111111,0.0,0.0,0.0,0.0011111111111111111,0.06666666666666667,0.01888888888888889,0.11,0.028888888888888888,0.09,0.04111111111111111,0.12111111111111111,0.03888888888888889,0.012222222222222223,0.0044444444444444444,0.0011111111111111111,0.0,0.056666666666666664,0.012222222222222223,0.07888888888888888,0.012222222222222223,0.006666666666666667,0.0033333333333333335,0.021111111111111112,0.011111111111111112,0.0033333333333333335,0.0033333333333333335,0.01,0.005555555555555556,0.06222222222222222,0.015555555555555555,0.09555555555555556,0.017777777777777778,0.0044444444444444444,0.0033333333333333335,0.006666666666666667,0.005555555555555556,0.0,0.0,0.0077777777777777776,0.005555555555555556,0.22555555555555556,0.1322222222222222,0.0,0.0,0.0,0.0,0.0
7, Wulijiburen,Featherweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
8,AJ Dobson,Middleweight,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.057777777777777775,0.14222222222222222,0.08888888888888889,0.12222222222222222,0.07555555555555556,0.2833333333333333,0.20333333333333334,0.0,0.0,0.017777777777777778,0.006666666666666667,0.08777777777777777,0.04555555555555556,0.13111111111111112,0.07777777777777778,0.006666666666666667,0.006666666666666667,0.01,0.01,0.005555555555555556,0.005555555555555556,0.0011111111111111111,0.0011111111111111111,0.08666666666666667,0.04888888888888889,0.06333333333333334,0.03222222222222222,0.01,0.005555555555555556,0.0077777777777777776,0.0044444444444444444,0.0033333333333333335,0.0033333333333333335,0.07111111111111111,0.052222222222222225,0.03,0.6188888888888889,0.0,1.0,0.0,0.0,0.0
9,AJ Fletcher,Welterweight,0.0,0.0,0.0016666666666666666,0.0,0.0016666666666666666,0.0,0.1036111111111111,0.052500000000000005,0.13305555555555554,0.06916666666666667,0.15916666666666668,0.10111111111111111,0.17916666666666664,0.11194444444444444,0.006111111111111111,0.003333333333333333,0.0019444444444444444,0.001388888888888889,0.08611111111111111,0.03805555555555556,0.10805555555555554,0.05111111111111111,0.006944444444444444,0.004166666666666667,0.018333333333333333,0.0125,0.010555555555555556,0.010277777777777778,0.006666666666666667,0.005555555555555556,0.09527777777777778,0.04722222222222222,0.095,0.04388888888888889,0.0033333333333333335,0.0016666666666666668,0.007500000000000001,0.004722222222222222,0.005,0.003611111111111111,0.030555555555555555,0.020555555555555556,0.295,0.33638888888888885,0.0,0.0,0.0,0.0,1.0
10,Aalon Cruz,Featherweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0
11,Aalon Cruz,Lightweight,0.0,0.0,0.0,0.0,0.0,0.0,0.1411764705882353,0.023529411764705882,0.3411764705882353,0.23529411764705882,0.1411764705882353,0.023529411764705882,0.4470588235294118,0.3411764705882353,0.011764705882352941,0.0,0.0,0.0,0.047058823529411764,0.023529411764705882,0.3176470588235294,0.2235294117647059,0.047058823529411764,0.0,0.011764705882352941,0.0,0.047058823529411764,0.0,0.011764705882352941,0.011764705882352941,0.1411764705882353,0.023529411764705882,0.07058823529411765,0.023529411764705882,0.0,0.0,0.058823529411764705,0.047058823529411764,0.0,0.0,0.21176470588235294,0.16470588235294117,0.058823529411764705,0.08235294117647059,0.0,0.0,0.0,0.0,1.0
12,Aaron Phillips,Bantamweight,0.0,0.0,0.0008333333333333333,0.0008333333333333333,0.0008333333333333333,0.0008333333333333333,0.04833333333333334,0.025555555555555554,0.08444444444444445,0.04833333333333333,0.19166666666666665,0.1547222222222222,0.1552777777777778,0.1125,0.0002777777777777778,0.0,0.009166666666666667,0.005833333333333334,0.03,0.010555555555555556,0.06777777777777777,0.0375,0.015,0.013333333333333334,0.013888888888888888,0.008888888888888889,0.0033333333333333335,0.0016666666666666666,0.002777777777777778,0.0019444444444444444,0.028611111111111108,0.01138888888888889,0.03,0.011666666666666667,0.01,0.007222222222222223,0.012777777777777779,0.009166666666666667,0.009722222222222222,0.006944444444444444,0.04166666666666667,0.027500000000000004,0.05666666666666667,0.7227777777777777,0.0,0.0,0.0,1.0,0.0
13,Aaron Phillips,Featherweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0
